artist_name,title,year,danceability,duration,energy,key,loudness,song_hotttnesss,tempo,time_signature
Sandi Thom,Wounded Hearts,2008,0.0,205.21751,0.0,4,-4.332,0.41967427880955327,82.205,4
The Field Mice,When Morning Comes To Town,1989,0.0,316.73424,0.0,3,-15.54,0.5316127691991754,162.682,4
Catherine Howe,Freedom Enough (From Silent Mother Nature),0,0.0,183.37914,0.0,4,-11.428,0.0,172.337,4
Rodney O & Joe Cooley,Nutty Block,1991,0.0,172.01587,0.0,1,-9.745,0.0,175.393,4
Strata,Part One From Triomusic,2004,0.0,377.67791,0.0,2,-21.787,0.0,109.671,5
Till West & DJ Delicious,Same Man,2006,0.0,153.28608,0.0,1,-7.535,0.7215726608393865,125.558,4
JDS,Nine Ways,0,0.0,465.60608,0.0,1,-5.533,0.582918458497712,134.014,4
Panic At The Disco,Northern Downpour (Album Version),0,0.0,247.77098,0.0,5,-8.901,0.3522322250053423,85.157,4
Jan Howard,Bad Seed,0,0.0,165.98159,0.0,1,-15.915,0.2740735781033903,86.162,4
Abraham Laboriel,Exchange,1995,0.0,368.16934,0.0,11,-8.489,0.319565986882865,93.106,4
Sticky Fingaz,Oh My God,2000,0.0,266.4224,0.0,6,-5.947,0.6362872244273321,80.149,4
Lisa Lynne,Isla del Luna,1999,0.0,316.49914,0.0,2,-14.544,0.7613032180894456,95.981,4
Shawn Colvin,Another Long One,1989,0.0,224.60036,0.0,8,-13.256,0.42512465831305757,210.871,4
Casual,OAKtown,0,0.0,259.44771,0.0,4,-8.422,0.0,106.689,1
Tiny Tim,I Hold Your Hand In Mine [Live At Royal Albert Hall],2000,0.0,43.36281,0.0,6,-23.996,0.0,93.779,3
David Martin,It Wont Be Christmas,0,0.0,241.47546,0.0,0,-14.835,0.0,98.718,4
Eddie Calvert,Erica (2005 Digital Remaster),0,0.0,138.63138,0.0,4,-9.672,0.0,159.587,1
Glad,Blessed Assurance,1993,0.0,270.602,0.0,2,-10.754,0.4733465411087876,192.702,5
Los Manolos,Rumba De Barcelona,0,0.0,218.38322,0.0,7,-4.37,0.40044346624428967,118.595,4
Jinx,Kutt Free (DJ Volume Remix),0,0.0,407.37914,0.0,6,-7.884,0.0,89.345,5
Chase & Status,Ten Tonne,2005,0.0,337.68444,0.0,4,-5.134,0.39200877147130697,174.993,4
Mitch Ryder,Jenny Take a Ride,2004,0.0,207.43791,0.0,9,-11.255,0.4191258929591558,97.538,4
Danilo Perez,Native Soul,2003,0.0,197.19791,0.0,7,-16.113,0.2538347361322313,159.233,1
King Curtis,A Whiter Shade Of Pale (Live @ Fillmore West),0,0.0,326.00771,0.0,0,-17.492,0.6624931608196217,100.415,4
Sophie B. Hawkins,The Ballad Of Sleeping Beauty,1994,0.0,305.162,0.0,9,-6.301,0.5996603576264808,105.003,4
Lupe Fiasco,Streets On Fire (Explicit Album Version),0,0.0,279.97995,0.0,7,-6.294,0.8888135378942498,110.218,4
40 Grit,Intro,2003,0.0,75.67628,0.0,11,-22.752,0.42744657148843085,186.882,3
Gwen Stefani,Harajuku Girls,2004,0.0,290.55955,0.0,1,-4.169,0.6846130855406626,113.995,4
Steve Morse,Prognosis,2000,0.0,363.85914,0.0,4,-6.977,0.6406840303493887,90.199,1
Bitter End,Living Hell,0,0.0,282.43546,0.0,10,-14.041,0.3347065490692206,111.032,3
Story Of The Year,Swallow The Knife (Live) (Segue),2005,0.0,75.57179,0.0,6,-7.626,0.21508031850922793,100.032,4
Natural Elements,Mayday,1998,0.0,338.1024,0.0,1,-6.318,0.40148671142756037,185.88,4
Lisa Lynne,Lake Of Dreams,1998,0.0,298.10893,0.0,0,-12.811,0.6738755724404429,94.031,5
A Static Lullaby,Rattlesnake!,2008,0.0,213.49832,0.0,2,-5.537,0.5902527150384457,202.233,4
John Wesley_ John Wesley,Disappeared,0,0.0,351.08526,0.0,7,-7.513,0.4287022625232594,133.405,5
Nights Like These,Ghost Town Rituals (Album Version),2006,0.0,305.89342,0.0,5,-4.053,0.3347065490692206,124.872,1
John Davis & Emma Doyle,Rudolph The Red-Nosed Reindeer,0,0.0,135.52281,0.0,0,-13.781,0.0,169.878,4
Jauida,I don't Want to Be Alone Tonight,0,0.0,269.76608,0.0,7,-6.996,0.0,101.01,4
All Time Low,Shameless,2007,0.0,221.67465,0.0,2,-2.838,0.2707759989463275,91.483,4
Richard Galliano,L' Envers Du Décor,1999,0.0,261.74649,0.0,9,-15.008,0.34092275586437804,76.296,3
Debbie Davies,Little Sister,1998,0.0,225.67138,0.0,7,-6.908,0.26586104921065007,116.984,4
The Stolen Minks,I Hate You,0,0.0,56.42404,0.0,2,-2.704,0.0,123.695,4
Extasick,Misanthrope,0,0.0,134.03383,0.0,2,-8.933,0.0,91.459,4
Yung Joc,BYOB (Explicit Album Version),2007,0.0,193.64526,0.0,4,-5.797,0.30416950343527516,174.019,4
State of Chaos,CHAOS INTRO,0,0.0,176.90077,0.0,2,-18.724,0.0,97.619,3
Dropkick Murphys,Bloody Pig Pile (Live),2002,0.0,196.72771,0.0,9,-5.386,0.5287824809425877,183.808,4
Taint,Hex Breaker,2009,0.0,281.46893,0.0,1,-4.583,0.42512465831305757,92.044,3
VHS Or Beta,The Melting Moon (Edit),2004,0.0,224.20853,0.0,9,-5.893,0.5249690553238349,126.806,4
Leonard Kwan,Hawaiian Chimes,0,0.0,170.31791,0.0,5,-17.805,0.0,108.912,4
True Believers,Turn Around,0,0.0,361.53424,0.0,6,-4.228,0.2555198043725864,160.731,4
Charanga Forever,Tumba Tumba,2000,0.0,367.43791,0.0,1,-6.622,0.0,203.964,5
Terry Snyder,Deep Night/Softly As In A Morning Sunrise (Medley),0,0.0,340.11383,0.0,10,-12.752,0.52549711888017,112.097,4
Marcus Miller,Let Me Show You [I Just Want To Make You Smile],1983,0.0,280.13669,0.0,0,-13.078,0.5033812362063191,125.147,4
Ayo,Complain,2006,0.0,212.71465,0.0,0,-11.26,0.0,128.689,4
Kid Sister,Daydreaming [Jakwob Remix],2009,0.0,277.2371,0.0,11,-3.573,0.573019827988094,140.026,4
Public Image Ltd,Ease,1985,0.0,492.30322,0.0,9,-12.091,0.6392484891503506,193.56,4
Richard Galliano,L'insidieuse (Live),0,0.0,309.65506,0.0,0,-13.481,0.26695518627553855,111.663,4
Helen Love,So Hot,1994,0.0,81.97179,0.0,2,-6.746,0.2998774882739778,100.76,4
David Mingyue Liang,Youlan_ Lonely Orchid (solo guqin),0,0.0,757.99465,0.0,2,-16.077,0.0,163.67,4
Pursuit Of Happiness,Forbidden Fruit,0,0.0,196.49261,0.0,7,-10.324,0.0,127.298,4
Azis,Anti Geroi,2006,0.0,281.88689,0.0,0,-6.608,0.40790171721807383,98.151,4
The Cosmosamatics,Serene,0,0.0,338.36363,0.0,3,-14.952,0.0,65.054,4
Jackie Edwards,So Jah Seh,2006,0.0,256.62649,0.0,1,-12.102,0.2259402731643149,161.796,4
Ensiferum,Warrior's Quest,1999,0.0,291.02975,0.0,7,-4.507,0.6603443825872879,179.988,3
Leila Chicot,Medley Leïla Chico,0,0.0,293.27628,0.0,2,-5.568,0.24994454633133426,90.008,4
The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,The Hustle,1995,0.0,334.78485,0.0,1,-9.636,0.5786581877569713,95.816,4
Erkki Junkkarinen,Rakkauden satu - Histoire d'un Amour -,0,0.0,215.82322,0.0,4,-9.559,0.0,100.612,4
A Static Lullaby,God Bless You (Goddamn it),2005,0.0,237.42649,0.0,7,-4.621,0.5423075261686486,80.41,4
Scar Symmetry,The Illusionist,2006,0.0,271.5424,0.0,6,-3.536,0.716321271238986,150.086,4
Sonia Dersion,Urgence,2004,0.0,269.87057,0.0,5,-8.089,0.24762576384321291,173.936,4
Christina Aguilera,Pero Me Acuerdo De Tí,2000,0.0,266.73587,0.0,6,-7.834,0.6224351372915203,117.984,4
Headhunter,Trapped In Reality,0,0.0,312.76363,0.0,8,-3.319,0.21204540548371908,153.551,4
Eighteen Visions,Our Darkest Days,2006,0.0,172.19873,0.0,6,-4.806,0.6603697057715096,131.079,4
Baby Huey & The Baby Sitters,California Dreamin' (LP Version),1971,0.0,288.36526,0.0,2,-10.895,0.476248227291196,132.973,1
Weezer,Don't Let Go,2001,0.0,180.97587,0.0,2,-3.637,0.7847122657964972,142.68,4
Rodney O & Joe Cooley,U Don't Hear Me Tho' (Street Mix),1993,0.0,217.41669,0.0,1,-7.041,0.45193455272289035,107.185,4
Boots Randolph,Lonely Street,1963,0.0,150.20363,0.0,0,-11.927,0.37598430150044215,101.485,3
Jackson United,Undertow,2008,0.0,204.93016,0.0,11,-4.941,0.4454545254934259,90.636,4
Creedence Clearwater Revived,Have You Ever Seen The Rain,0,0.0,257.59302,0.0,0,-9.224,0.23957751093749546,121.232,4
Luar Na Lubre,Terra,2001,0.0,251.81995,0.0,2,-8.654,0.40003965695463956,229.913,3
Circular,Mother,0,0.0,59.89832,0.0,1,-27.806,0.2884816426560289,75.127,1
Fruko Y Sus Tesos,A La Memoria Del Muerto,2004,0.0,261.90322,0.0,10,-6.206,0.6971815422849269,106.769,4
The Bucketheads,Sayin' Dope,1995,0.0,365.71383,0.0,9,-14.979,0.37598430150044215,120.876,5
Kinky,My Bonnie Lies Over the Ocean,0,0.0,101.14567,0.0,7,-4.179,0.23784594307140036,144.954,4
The Real Kids,Now You Know,1996,0.0,222.11873,0.0,11,-8.471,0.4922998611335412,147.661,4
Tha Chamba,Korrupted - Remix,0,0.0,281.75628,0.0,8,-6.816,0.1927269163448934,172.287,4
Shriekback,Reason With The Beast,2005,0.0,113.60608,0.0,2,-11.661,0.23979456027401197,100.15,1
Hatebreed,As Diehard As They Come (Album Version),2006,0.0,136.95955,0.0,0,-3.806,0.0,85.771,4
Sister Hazel,Walls And Cannonballs (Album),2010,0.0,195.36934,0.0,5,-6.481,0.6030301447935913,140.259,4
Precious Bryant,Dark Angel,2005,0.0,193.72363,0.0,4,-9.131,0.24152448241652583,91.538,4
